"BatteryMass","canard_mass","CfgID","ConstraintsTest","CostPerFlight","CruiseSpeed","ENominal","EReserve","fuselage_mass","GUID","hops","hops.1","loiterTime","loiterTime.1","MaxTakeoffMass","MotorMass","payload_mass","prop_mass","Range","RotorRadius","tNominal","toolCostPerVehicle","tReserve","Vehicle","wing_mass","wire_mass"
845.94115875,200,"TestConstraints",0,221.060298686,64.168705549,364.340025428,671.885139572,500,"22ac4526-0b11-4eea-b812-a09914af3173",2,2,1020,1020,5606.18396246,149.33723494,550,50,59889.7711913,9.11028145765,1113.31742754,2000,2313.31742754,1,200,30
424.281668726,200,"TestConstraints",0,2876.25939431,40.9339995334,187.322558066,326.63710162,500,"378e62c7-d898-4a0e-9120-939bb073b1c8",2,2,1020,1020,7476.46623349,782.928140558,550,50,194607.21295,9.93526544013,4934.17049809,2000,6134.17049809,0,200,30
644.069148989,200,"TestConstraints",0,311.568512732,73.845145324,1342.07767905,1602.74371656,500,"41e65b70-769a-4711-abe5-22c0baae7a7e",2,2,1020,1020,5841.45808171,551.846170162,550,50,119732.998003,0.332552130495,1801.40649162,2000,3001.40649162,1,200,30
932.796638278,200,"TestConstraints",0,143.904077359,39.359262991,84.4002165057,247.568261703,500,"c3632520-b8d4-4061-82c3-083e39a7d427",2,2,1020,1020,7543.32716962,638.716977619,550,50,21412.1403617,5.45679266735,724.017817778,2000,1924.01781778,1,200,30
595.019008186,200,"TestConstraints",0,118.437480698,61.4800361547,81.6287852311,150.779426488,500,"2b1f20f2-ae64-47f1-8d16-b9c5a6f11441",2,2,1020,1020,716.830273522,169.21975301,550,50,69021.317292,4.32615232597,1302.66227558,2000,2502.66227558,1,200,30
784.136702634,200,"TestConstraints",0,486.65682897,60.1993151756,107.105040989,182.196517757,500,"c1330507-90e9-4dc0-90ae-28cf542b2e7d",2,2,1020,1020,9231.0277138,827.005003629,550,50,62723.6893185,7.03977296157,1221.93360232,2000,2421.93360232,0,200,30
42.089697743,200,"TestConstraints",0,40.9601320095,52.7878493321,8.47392018566,14.6051512365,500,"34f879d8-c3a6-4e84-ac69-26421b73bac1",2,2,1020,1020,606.764392048,560.732423453,550,50,40483.1250759,0.601174247675,946.902338097,2000,2146.9023381,1,200,30
388.231825856,200,"TestConstraints",0,798.777821296,32.9644081776,61.0276014801,111.110250935,500,"77877246-a088-4a51-8925-57e26852f2bb",2,2,1020,1020,5489.5765623,947.127965414,550,50,101848.706891,5.62106794266,3269.65676989,2000,4469.65676989,0,200,30
522.365353708,200,"TestConstraints",0,1041.3951947,66.3123831889,185.255438457,283.061534169,500,"54a0da38-fd7b-48a2-a289-5ea09876ff1f",2,2,1020,1020,1347.87748024,324.987268882,550,50,144847.391716,8.28362719147,2364.31889716,2000,3564.31889716,0,200,30
603.524398519,200,"TestConstraints",0,903.450889429,46.6881846322,98.2605386825,140.683178419,500,"c9e0ef98-36ab-48df-8599-145cf14031b1",2,2,1020,1020,3248.7638947,724.60475674,550,50,186032.801688,5.13729430053,4164.57989219,2000,5364.57989219,0,200,30
260.344952364,200,"TestConstraints",0,180.702077393,75.9704465278,317.906476374,383.476390262,500,"4acb365c-9830-4a2c-a4cd-569c20127876",2,2,1020,1020,8360.04238409,842.444587526,550,50,168729.249518,2.07663694956,2400.98535983,2000,3600.98535983,1,200,30
486.915825495,200,"TestConstraints",0,561.2429012,48.9079430061,86.251555191,117.107098053,500,"0535aa23-b142-429f-ad8c-18e221cf3f60",2,2,1020,1020,4829.70408872,347.636506114,550,50,162541.137444,4.13373762645,3503.40980735,2000,4703.40980735,0,200,30
32.0728807772,200,"TestConstraints",0,230.539581924,73.5468606494,145.233681931,162.35477603,500,"311c62b7-c05c-4446-9a70-e2a023c3aa37",2,2,1020,1020,5184.58787979,899.618377092,550,50,154691.669838,2.4382697743,2283.30758474,2000,3483.30758474,0,200,30
717.32093861,200,"TestConstraints",0,416.020560935,53.7014782085,82.8328418569,111.866716468,500,"208afb2d-8790-47bb-b7af-3501686b699c",2,2,1020,1020,6471.51118253,172.251117356,550,50,127284.941321,3.87679591671,2550.23161312,2000,3750.23161312,0,200,30
72.2333332114,200,"TestConstraints",0,1937.30174757,30.6148128104,89.7578848097,160.438138147,500,"80142947-be06-469b-ac65-6244c8d63ff7",2,2,1020,1020,634.346994466,490.459833517,550,50,188683.866449,6.94848463294,6343.15597345,2000,7543.15597345,0,200,30
507.539133738,200,"TestConstraints",0,228.356536557,79.3527225378,965.21431547,1871.91753477,500,"69afea52-9008-4eed-aebc-5b424e03a415",2,2,1020,1020,2586.1540733,357.653087939,550,50,54802.2156775,6.33388002374,870.615443615,2000,2070.61544361,1,200,30
964.737858261,200,"TestConstraints",0,566.100654995,41.3174635771,2020.04184408,2533.42083145,500,"33c57082-4837-48d4-b771-2f8f187a6f4d",2,2,1020,1020,6113.53886422,311.73047976,550,50,182591.066906,3.43613061645,4599.2225538,2000,5799.2225538,1,200,30
602.84319494,200,"TestConstraints",0,547.125510237,61.5192370909,120.371132151,176.925364594,500,"af411c6c-4fb6-44e1-86d1-de5a8e6812d1",2,2,1020,1020,9943.51833206,732.341508831,550,50,106106.614882,5.92605134089,1904.77130568,2000,3104.77130568,0,200,30
872.218938325,200,"TestConstraints",0,139.557163001,58.2859217552,37.1404354499,65.7324737869,500,"f55081c8-2814-4409-a37b-da3a43c3f8fc",2,2,1020,1020,823.618861161,634.527000071,550,50,61630.375226,2.86846961394,1237.38012491,2000,2437.38012491,1,200,30
91.3690029416,200,"TestConstraints",0,210.659133534,33.5205538308,335.732184919,452.895444751,500,"b9d20a54-af45-4c1e-adff-46ce1761e2c0",2,2,1020,1020,6743.8929447,178.499596927,550,50,119004.349802,4.80721071599,3730.19044143,2000,4930.19044143,1,200,30
400.246329784,200,"TestConstraints",0,146.702033505,74.9756602054,104.395612497,134.589051148,500,"e9e2d401-ae14-4722-a1ab-7b36fa1f2a6a",2,2,1020,1020,1169.68640047,667.172836185,550,50,154845.283093,3.38776334811,2245.27401918,2000,3445.27401918,1,200,30
992.070768669,200,"TestConstraints",0,983.940997658,31.0493718292,93.8456001156,185.181778018,500,"80236bcf-d14d-4a0c-8ed8-2e5e163794b3",2,2,1020,1020,3303.63171467,679.684482935,550,50,63828.2483807,7.96021663981,2235.70176208,2000,3435.70176208,0,200,30
168.980628621,200,"TestConstraints",0,192.916813185,31.0532971978,478.238303859,738.203932211,500,"19c20745-410e-4109-9e4f-d531aa66bc27",2,2,1020,1020,9865.31823474,165.753053265,550,50,69803.486136,4.71980691228,2427.86069226,2000,3627.86069226,1,200,30
40.1886126605,200,"TestConstraints",0,121.172964073,50.4890621964,378.572152448,1023.92944247,500,"9469a998-9ceb-4c80-a1e5-79d912dfe3fe",2,2,1020,1020,1464.47329025,439.822596749,550,50,29815.6055167,8.90191450951,770.535934313,2000,1970.53593431,1,200,30
415.320995445,200,"TestConstraints",0,125.10753067,39.40365646,18.9103515005,37.2966205111,500,"97df286f-8f6a-429a-b5c4-866bdddd5405",2,2,1020,1020,6855.54863423,188.827893244,550,50,32024.9555732,2.41736319408,992.740706074,2000,2192.74070607,0,200,30
767.687118298,200,"TestConstraints",0,290.466108527,39.929418589,266.158873842,371.543219548,500,"b94f786e-f11b-4606-a5bd-aff091501a6b",2,2,1020,1020,7308.80366274,960.302373186,550,50,115574.02033,4.13387054259,3074.4578813,2000,4274.4578813,1,200,30
356.4475586,200,"TestConstraints",0,987.561442341,75.2314273527,230.963143807,349.27082234,500,"3523357f-ca97-456f-96d8-fbd51a8a7fea",2,2,1020,1020,6845.45938341,978.123880004,550,50,126629.876435,9.10873534439,1863.20449167,2000,3063.20449167,0,200,30
13.1629394158,200,"TestConstraints",0,1280.86131203,60.893975558,208.714785391,313.620449728,500,"7e577544-b2a4-4870-b8d3-50c0870fa7a3",2,2,1020,1020,9310.2656063,28.9233078498,550,50,170397.639593,8.49762263534,2978.26761237,2000,4178.26761237,0,200,30
225.594597268,200,"TestConstraints",0,150.342433392,77.0873189357,291.993564354,341.924044118,500,"b1ec32b6-090e-4ede-94f9-d4e62956019e",2,2,1020,1020,2762.03291373,780.400174956,550,50,169112.915614,0.516017718845,2373.7838538,2000,3573.7838538,1,200,30
146.945117151,200,"TestConstraints",0,113.494159327,47.7846952326,89.5654791353,136.829714083,500,"e86139f5-12b9-4f43-b3e1-9a3b27e6e49a",2,2,1020,1020,3990.03672721,663.122481076,550,50,88429.0041512,3.18020429785,2030.57168871,2000,3230.57168871,1,200,30
342.899543277,200,"TestConstraints",0,282.268411955,57.6641398709,471.829435285,637.387322541,500,"0c9ee674-4bbd-4de5-b82a-88cf44963ac2",2,2,1020,1020,4687.53560444,749.835800298,550,50,146923.771468,6.93678680612,2727.92270893,2000,3927.92270893,1,200,30
