"BatteryMass","canard_mass","CfgID","ConstraintsTest","CostPerFlight","CruiseSpeed","ENominal","EReserve","fuselage_mass","GUID","hops","hops.1","loiterTime","loiterTime.1","MaxTakeoffMass","MotorMass","payload_mass","prop_mass","Range","RotorRadius","tNominal","toolCostPerVehicle","tReserve","Vehicle","wing_mass","wire_mass"
22.8163813057,1000,"TestConstraints",0,335.639208632,53.9679229878,1240.22585752,1630.88514024,1000,"1a34e580-f021-4eb6-affd-108e05b6fe09",2,2,1020,1020,8967.95228946,961.381487021,550,50,152592.067451,2.01711809517,3007.45859027,2000,4207.45859027,1,1000,250
686.621455589,1000,"TestConstraints",0,1659.63055268,34.2231576332,94.7968043291,172.754497341,1000,"f8a053ec-2eb9-47ea-bfe3-d6ac5660fa75",2,2,1020,1020,1211.86179222,919.173841648,550,50,136396.15905,7.32610342676,4165.49311295,2000,5365.49311295,0,1000,250
482.873790962,1000,"TestConstraints",0,320.127963192,45.0824787955,709.401185493,894.849263681,1000,"5e3c537d-bd2f-409b-af44-fa8e400f4150",2,2,1020,1020,8270.8032322,604.98676166,550,50,154921.029044,0.749446144093,3616.39110321,2000,4816.39110321,1,1000,250
435.766733725,1000,"TestConstraints",0,83.7976221885,77.9464510652,59.9147200609,98.340267589,1000,"3d9a02b5-91f2-4731-b283-a5e522aa83ab",2,2,1020,1020,3299.12667448,246.387256243,550,50,47282.2108484,1.11903638647,786.598635374,2000,1986.59863537,1,1000,250
342.966311159,1000,"TestConstraints",0,1351.88136656,37.9545665163,94.8585081569,162.316030533,1000,"f1610f03-94e9-484e-8010-e5c30ff48acf",2,2,1020,1020,4770.4936571,54.0658458281,550,50,149381.567459,6.70676772289,4115.7995933,2000,5315.7995933,0,1000,250
125.228412736,1000,"TestConstraints",0,599.145924772,58.2791782769,137.065949983,248.153090126,1000,"0dcc7bc0-f1b7-4ce3-85f1-070d3107a6f5",2,2,1020,1020,9549.85280066,530.738326294,550,50,56549.4394368,8.76564749229,1150.31977987,2000,2350.31977987,0,1000,250
230.681018345,1000,"TestConstraints",0,74.6645052818,66.4534098878,56.2702514796,100.088571411,1000,"83907b51-8943-4561-a7c6-849f8cfd2b0e",2,2,1020,1020,4813.49369466,16.1687188471,550,50,52027.7538922,3.51884075893,962.920755761,2000,2162.92075576,1,1000,250
238.659711452,1000,"TestConstraints",0,695.627080044,32.833963862,1558.27992512,2012.44553105,1000,"697dfbfb-5a58-47dc-a23f-cacab8280188",2,2,1020,1020,3206.171874,904.346555392,550,50,141671.59384,9.65879082864,4494.78801753,2000,5694.78801753,1,1000,250
927.085205434,1000,"TestConstraints",0,841.687655946,39.9293900893,71.5767068432,96.7844144369,1000,"8b5cbbc2-db97-497f-b333-b4d0adb488de",2,2,1020,1020,7700.52640902,247.520451612,550,50,189758.327608,3.36660372901,4932.3472606,2000,6132.3472606,0,1000,250
573.219769143,1000,"TestConstraints",0,395.140013399,74.6004703172,152.862370394,181.077658265,1000,"b91d291e-5106-4130-8a1a-2461595e0b05",2,2,1020,1020,8713.252023,243.334245018,550,50,136434.871494,3.64400743974,2008.87414669,2000,3208.87414669,0,1000,250
984.740595706,1000,"TestConstraints",0,1341.56002339,55.5675774732,147.571623309,225.282488783,1000,"00639cbd-9fbe-4ceb-a442-510bcfc097ec",2,2,1020,1020,1029.92586517,921.654407934,550,50,168961.670867,7.31554871539,3220.65209517,2000,4420.65209517,0,1000,250
477.366400973,1000,"TestConstraints",0,665.874269964,48.9141220933,3166.07371386,4755.03357424,1000,"839667ab-9ca3-484f-ab6e-14b1244a7959",2,2,1020,1020,3509.00697682,779.689004506,550,50,100485.837778,8.16730373799,2234.33182642,2000,3434.33182642,1,1000,250
407.791191186,1000,"TestConstraints",0,118.559248237,72.2377121188,205.729666539,330.915233749,1000,"50707c0a-1ff2-484e-8e4f-7e583f5d3d97",2,2,1020,1020,7234.81665808,35.8533476295,550,50,72186.287623,2.49188381325,1179.2881212,2000,2379.2881212,1,1000,250
543.683645406,1000,"TestConstraints",0,916.198459368,74.3019801396,211.343065077,320.467143882,1000,"6c2b9884-659c-4e8c-b123-d982b6116c6d",2,2,1020,1020,8353.90684069,361.156829229,550,50,115079.003876,8.69793496542,1728.80130597,2000,2928.80130597,0,1000,250
165.244034041,1000,"TestConstraints",0,1409.00577726,76.4856219692,306.200841048,426.317925997,1000,"f65c05e5-bd5d-455c-8c4f-d347f448ea9f",2,2,1020,1020,9466.45018824,14.2934522005,550,50,187049.42153,9.14901273181,2625.55011406,2000,3825.55011406,0,1000,250
484.96627498,1000,"TestConstraints",0,152.83136571,73.4506758832,55.6849491056,107.431649255,1000,"85d8f843-9a67-4010-aa9f-de62bf4ebba0",2,2,1020,1020,6628.2752541,627.744792676,550,50,12994.8353179,5.70305975883,356.919206824,2000,1556.91920682,0,1000,250
700.237053851,1000,"TestConstraints",0,166.079045237,55.8717426191,38.7668999149,78.4572355948,1000,"ed372240-da2d-41ed-8284-5ff2729f9a4e",2,2,1020,1020,9905.10404084,833.799156395,550,50,13795.2518558,4.68762849303,426.909282029,2000,1626.90928203,0,1000,250
188.921250247,1000,"TestConstraints",0,1051.64757693,73.7531066579,230.009042124,342.366892589,1000,"ad73b97f-5870-41f5-b398-648a9d14dddf",2,2,1020,1020,6771.86510709,117.233805276,550,50,137424.166656,8.8592155731,2043.30004095,2000,3243.30004095,0,1000,250
223.426774043,1000,"TestConstraints",0,81.3566078192,71.7476602073,61.8563279825,104.961374528,1000,"d1cac188-e5ea-4ec4-8733-613a3fb02418",2,2,1020,1020,6698.05416956,648.925694746,550,50,51216.9198996,2.65583545815,893.847946423,2000,2093.84794642,1,1000,250
