"BatteryMass","canard_mass","CfgID","ConstraintsTest","CostPerFlight","CruiseSpeed","ENominal","EReserve","fuselage_mass","GUID","hops","hops.1","loiterTime","loiterTime.1","MaxTakeoffMass","MotorMass","payload_mass","prop_mass","Range","RotorRadius","tNominal","toolCostPerVehicle","tReserve","Vehicle","wing_mass","wire_mass"
72.3324671624,200,"TestConstraints",0,936.176731964,58.834701921,6253.72810156,9350.09248012,500,"82313c89-6dc3-4fb3-b63a-1a5d9c71e8ee",2,2,1020,1020,8030.66052747,30.45858244,550,50,88653.4717382,6.61971784343,1686.82282469,2000,2886.82282469,1,200,30
242.733623765,200,"TestConstraints",0,111.762689384,39.9576477241,13.7450968734,24.4146560809,500,"31797bd6-a32b-488a-975a-3a063de73277",2,2,1020,1020,984.327060928,618.610292427,550,50,41688.6145314,1.69122613629,1223.32003774,2000,2423.32003774,0,200,30
430.9195636,200,"TestConstraints",0,1004.15880694,77.5994209585,245.969373362,346.784303155,500,"35977bd0-1dd5-4466-958f-66ea9c5bbe0e",2,2,1020,1020,5013.61487661,563.228064106,550,50,157093.487793,8.37608304762,2204.41572182,2000,3404.41572182,0,200,30
832.313891939,200,"TestConstraints",0,746.345524832,70.2335633886,172.205817399,257.942104057,500,"306e779b-9498-4c48-bdc7-70f2401f60c3",2,2,1020,1020,7802.99372402,595.59497414,550,50,111555.054788,7.61970781711,1768.34393992,2000,2968.34393992,0,200,30
264.599515116,200,"TestConstraints",0,194.199962217,43.0881265484,77.2257786514,107.782239195,500,"927cb9cd-d770-4f13-9314-13c1d57755b1",2,2,1020,1020,7077.45425682,846.261805932,550,50,113986.369249,0.535845612579,2825.42411981,2000,4025.42411981,0,200,30
944.476856135,200,"TestConstraints",0,275.07492106,79.7588473954,335.006831035,395.076567359,500,"ce822be8-8d97-4eb7-af5f-9e462e3d90c4",2,2,1020,1020,9133.83439629,568.82643768,550,50,194574.953312,3.84508658016,2619.54068628,2000,3819.54068628,1,200,30
532.040767435,200,"TestConstraints",0,353.131542174,47.3578280277,69.8461756487,81.6836742175,500,"49de3bcd-f13d-4573-ad0f-d347175b74b5",2,2,1020,1020,1614.55611648,397.705992557,550,50,193477.272794,1.87640463158,4265.43383115,2000,5465.43383115,0,200,30
454.889996828,200,"TestConstraints",0,1374.52029045,35.0571424002,6812.45035454,8584.91076929,500,"3353b02d-2372-4b0e-bdc2-6c0884122d89",2,2,1020,1020,6536.25293606,309.893466966,550,50,161754.8526,9.55813559471,4794.03416039,2000,5994.03416039,1,200,30
582.735448594,200,"TestConstraints",0,1863.27953366,36.1996882704,154.130405782,291.91045882,500,"88fe5ac1-f9d7-4fd4-8cc2-4d68339e1b90",2,2,1020,1020,5813.48925464,68.9959771486,550,50,110304.570903,9.89518015645,3227.11383366,2000,4427.11383366,0,200,30
19.6960169755,200,"TestConstraints",0,615.458615352,65.2047347826,150.687053789,197.262394985,500,"7c0577fc-510f-480e-b7f0-18cc6eecbcfc",2,2,1020,1020,3510.18945969,883.773568889,550,50,167903.468939,5.4289470046,2755.01958253,2000,3955.01958253,0,200,30
