BatteryMass,canard_mass,CfgID,ConstraintsTest,CostPerFlight,CruiseSpeed,ENominal,EReserve,fuselage_mass,GUID,hops,hops,loiterTime,loiterTime,MaxTakeoffMass,MotorMass,payload_mass,prop_mass,Range,RotorRadius,tNominal,toolCostPerVehicle,tReserve,Vehicle,wing_mass,wire_mass
510.548000973,1000.0,TestConstraints,0.0,262.669723045,64.2895384656,85.3774013337,105.189364582,1000.0,0f58d04b-90c9-4db6-b792-7d57b17ffdf8,2.0,2.0,1020.0,1020.0,8950.49967858,319.567298002,550.0,50.0,101458.106316,2.24645854061,1758.14332997,2000.0,2958.14332997,0.0,1000.0,250.0
92.4117379548,1000.0,TestConstraints,0.0,160.728923952,58.6447179246,157.777628537,200.571828304,1000.0,39fb7da4-ab5c-4fb0-abb1-2b41ce783a58,2.0,2.0,1020.0,1020.0,1818.47866633,326.753155284,550.0,50.0,172490.784744,3.40637791612,3121.28424261,2000.0,4321.28424261,1.0,1000.0,250.0
283.165527743,1000.0,TestConstraints,0.0,335.673520501,37.9263717144,679.240624958,823.258118032,1000.0,e0ea173e-c9a7-4514-b163-c4d1eac234d8,2.0,2.0,1020.0,1020.0,8114.95898436,636.614442236,550.0,50.0,165163.577406,0.861591888297,4534.84782594,2000.0,5734.84782594,1.0,1000.0,250.0
217.313077193,1000.0,TestConstraints,0.0,140.291262533,63.2980156606,237.76027374,296.314656549,1000.0,ef781635-3293-4c46-b544-1f0ab9a7207d,2.0,2.0,1020.0,1020.0,2472.92037675,85.8369747167,550.0,50.0,158996.5318,0.383055936733,2691.87229395,2000.0,3891.87229395,1.0,1000.0,250.0
284.803247155,1000.0,TestConstraints,0.0,122.730703489,42.1910685211,138.711200487,219.134728697,1000.0,b189ece2-72e4-4da8-b6ee-d3b2a030d8de,2.0,2.0,1020.0,1020.0,7885.21455764,230.174691577,550.0,50.0,66764.1908704,1.34319710281,1762.42474559,2000.0,2962.42474559,1.0,1000.0,250.0
924.815666917,1000.0,TestConstraints,0.0,473.760062459,37.3113713562,769.83440632,1092.08744465,1000.0,b7bb6274-0ab2-438b-9914-f5c782882a43,2.0,2.0,1020.0,1020.0,4068.94110916,807.838281058,550.0,50.0,106801.016085,8.21444472608,3042.42537336,2000.0,4242.42537336,1.0,1000.0,250.0
907.972814582,1000.0,TestConstraints,0.0,590.396071703,70.8434231221,146.0936118,256.336994852,1000.0,34a93165-f606-4547-9a69-c3035da75b6b,2.0,2.0,1020.0,1020.0,2424.25904842,618.129337065,550.0,50.0,56149.0975005,8.82083465319,972.580242823,2000.0,2172.58024282,0.0,1000.0,250.0
635.221968212,1000.0,TestConstraints,0.0,414.659905119,60.7842162735,129.329457075,144.867468189,1000.0,35cacc2c-25c1-42a7-8ed7-e6311499fa7a,2.0,2.0,1020.0,1020.0,5427.63498111,923.097795089,550.0,50.0,195605.984533,0.923407439693,3398.03909838,2000.0,4598.03909838,0.0,1000.0,250.0
237.853018689,1000.0,TestConstraints,0.0,214.439818404,69.7506896562,99.2362853886,110.976659996,1000.0,207b15d5-451d-4203-99e1-861a5fbbfae5,2.0,2.0,1020.0,1020.0,3670.96872407,233.571663076,550.0,50.0,124391.836966,1.34605692143,1963.37787883,2000.0,3163.37787883,0.0,1000.0,250.0
695.740289512,1000.0,TestConstraints,0.0,147.308156388,69.0038559523,210.705132504,584.638950633,1000.0,0257b54f-4df2-458a-9e61-da0a5051962c,2.0,2.0,1020.0,1020.0,1380.78867826,314.685055578,550.0,50.0,32142.9108986,8.24749612348,645.813257173,2000.0,1845.81325717,1.0,1000.0,250.0
331.023752856,1000.0,TestConstraints,0.0,739.289475676,33.8554453429,1997.07868755,2442.66970864,1000.0,1a46be7a-c034-4d71-8aab-22c0bdefd6da,2.0,2.0,1020.0,1020.0,9341.13158784,718.679452363,550.0,50.0,186018.775936,6.72757668095,5674.50093041,2000.0,6874.50093041,1.0,1000.0,250.0
948.441887871,1000.0,TestConstraints,0.0,468.51468277,70.3464854564,163.680108799,181.976764553,1000.0,77be2a1f-a252-4c57-ae99-587bea60791c,2.0,2.0,1020.0,1020.0,7502.04920624,985.710976913,550.0,50.0,181051.137418,2.25601551897,2753.7055127,2000.0,3953.7055127,0.0,1000.0,250.0
749.592304923,1000.0,TestConstraints,0.0,380.763606143,32.9044717876,215.599821152,260.489888522,1000.0,407bbead-3950-4b86-95a5-274ff9642bba,2.0,2.0,1020.0,1020.0,5329.53161555,516.775276149,550.0,50.0,180019.808145,2.17033017558,5650.98307204,2000.0,6850.98307204,1.0,1000.0,250.0
221.991645625,1000.0,TestConstraints,0.0,100.316238073,71.5019802415,87.334714708,129.450556786,1000.0,3515acc1-531b-445b-ba4d-e0c0242d5e12,2.0,2.0,1020.0,1020.0,6533.49979979,803.837838154,550.0,50.0,73024.5530886,1.94836484466,1201.29413538,2000.0,2401.29413538,1.0,1000.0,250.0
236.332250037,1000.0,TestConstraints,0.0,1521.11738862,52.0431753932,185.797096667,326.383703046,1000.0,7d115eeb-3f49-4c76-b459-a83a442d8d81,2.0,2.0,1020.0,1020.0,7025.91384295,930.192433605,550.0,50.0,115772.087179,9.98858586219,2404.53926581,2000.0,3604.53926581,0.0,1000.0,250.0
376.338574203,1000.0,TestConstraints,0.0,237.2645533,61.2320465322,276.728998049,372.378470612,1000.0,4cf43394-7604-493c-b7ba-271615cab9e0,2.0,2.0,1020.0,1020.0,4257.53553013,947.864720121,550.0,50.0,142228.142849,4.86128416381,2502.77297435,2000.0,3702.77297435,1.0,1000.0,250.0
153.659089141,1000.0,TestConstraints,0.0,316.449702112,55.992555139,69.4152074773,89.4856642003,1000.0,47dac95c-d8d0-4671-b77e-aaba89a46309,2.0,2.0,1020.0,1020.0,3760.93906166,175.507694204,550.0,50.0,114831.502751,3.01791256251,2230.83519525,2000.0,3430.83519525,0.0,1000.0,250.0
740.820244864,1000.0,TestConstraints,0.0,967.537298532,55.0154869692,154.209909885,280.25866713,1000.0,b687e28b-ec20-4925-8342-93636c08f570,2.0,2.0,1020.0,1020.0,1480.42523334,130.272143674,550.0,50.0,77774.9782948,9.48134436352,1593.69244515,2000.0,2793.69244515,0.0,1000.0,250.0
166.389408746,1000.0,TestConstraints,0.0,346.666624259,30.0281199594,1316.16912142,2036.52413893,1000.0,751f13f4-65d2-4f7b-ae22-5a9e73460753,2.0,2.0,1020.0,1020.0,4178.04617238,630.954841423,550.0,50.0,68095.333427,5.63484815553,2447.71884217,2000.0,3647.71884217,1.0,1000.0,250.0
76.3025163127,1000.0,TestConstraints,0.0,116.691778046,71.7644096194,199.511210565,260.088997373,1000.0,06ecd52c-10b3-4b5d-8d15-54d23ee7639f,2.0,2.0,1020.0,1020.0,5418.74809808,276.83507159,550.0,50.0,131603.366864,1.66999329363,2013.82497761,2000.0,3213.82497761,1.0,1000.0,250.0
858.720795251,1000.0,TestConstraints,0.0,396.280838223,39.9439164899,1207.7338526,1718.40499717,1000.0,708817ac-de78-47a9-b559-616c8bdef168,2.0,2.0,1020.0,1020.0,2075.27166982,135.405535989,550.0,50.0,108025.5948,5.10971123843,2884.43172058,2000.0,4084.43172058,1.0,1000.0,250.0
689.449231048,1000.0,TestConstraints,0.0,190.16553196,62.6029569089,245.824965517,350.983861027,1000.0,e79f2ffd-0513-405d-a8ef-f7e36dcb259a,2.0,2.0,1020.0,1020.0,4569.45534451,290.78795075,550.0,50.0,113365.94871,2.62798893209,1990.87211064,2000.0,3190.87211064,1.0,1000.0,250.0
124.000408802,1000.0,TestConstraints,0.0,381.460500938,46.4610515858,1705.26694098,3002.79329326,1000.0,52468fc8-e0e1-44d8-9161-cb00195474de,2.0,2.0,1020.0,1020.0,9689.85027063,335.624251894,550.0,50.0,64607.6063083,8.55287435674,1570.57563493,2000.0,2770.57563493,1.0,1000.0,250.0
464.80232496,1000.0,TestConstraints,0.0,365.54673324,55.4245417409,1481.71036725,2908.56402782,1000.0,d887b0e2-9760-422b-96b5-85faf1ec7fbe,2.0,2.0,1020.0,1020.0,4070.12946519,782.776263248,550.0,50.0,53879.843034,9.65048600729,1152.12969817,2000.0,2352.12969817,1.0,1000.0,250.0
