BatteryMass,canard_mass,CfgID,CostPerFlight,CruiseSpeed,ENominal,EReserve,fuselage_mass,GUID,hops,hops,loiterTime,loiterTime,MaxTakeoffMass,MotorMass,payload_mass,prop_mass,Range,RotorRadius,tNominal,toolCostPerVehicle,tReserve,Vehicle,wing_mass,wire_mass
918.840697206,1000.0,TestOperatingCost,204.872965316,52.4925477799,105.018755184,154.132725196,1000.0,b24cb635-eeb7-4a4a-b6a5-0da6c4e057ed,2.0,2.0,1020.0,1020.0,3948.62659841,837.931996394,550.0,50.0,93167.897339,0.825952327515,1954.87855475,2000.0,3154.87855475,1.0,1000.0,250.0
875.68480216,1000.0,TestOperatingCost,208.386042705,58.7566800027,271.763004708,599.00850728,1000.0,57f6c675-9c62-4696-b0bd-a33251d18563,2.0,2.0,1020.0,1020.0,6419.10919415,820.381895972,550.0,50.0,41780.6600397,8.70997786853,891.079319623,2000.0,2091.07931962,1.0,1000.0,250.0
456.232228061,1000.0,TestOperatingCost,77.9836802056,48.7151570072,31.1425218798,101.407481901,1000.0,c35421c1-6f46-4b12-8a17-598428478f7e,2.0,2.0,1020.0,1020.0,8054.56700815,309.19323873,550.0,50.0,16729.1557949,3.15289316644,523.407613207,2000.0,1723.40761321,1.0,1000.0,250.0
411.691323643,1000.0,TestOperatingCost,612.656245481,42.5795077216,1525.02240173,2057.50761517,1000.0,47451f58-f692-4974-8e38-c276826f26ac,2.0,2.0,1020.0,1020.0,1780.10198613,991.907449731,550.0,50.0,138614.090574,9.83845310234,3435.41787567,2000.0,4635.41787567,1.0,1000.0,250.0
799.69505157,1000.0,TestOperatingCost,1101.9704213,33.5107067576,56.9005716113,93.7172663873,1000.0,8f0714ac-ccde-4075-be1b-9330e8ef6f37,2.0,2.0,1020.0,1020.0,3973.65433928,846.232269888,550.0,50.0,151904.77294,4.68299061717,4713.02205884,2000.0,5913.02205884,0.0,1000.0,250.0
851.371181672,1000.0,TestOperatingCost,222.160729271,51.5049094803,55.6710375136,112.620493556,1000.0,7832b5a5-72f1-4e10-906e-f84a76604fce,2.0,2.0,1020.0,1020.0,1994.37538989,790.533871722,550.0,50.0,14003.620449,6.13757874554,451.88904107,2000.0,1651.88904107,0.0,1000.0,250.0
252.489660476,1000.0,TestOperatingCost,441.086090677,41.1037910039,58.942170918,71.3289172484,1000.0,97eb2271-1886-46fe-9327-695e26e979ef,2.0,2.0,1020.0,1020.0,4167.51073799,448.199242228,550.0,50.0,182818.255657,1.07674469617,4627.72248963,2000.0,5827.72248963,0.0,1000.0,250.0
899.740567327,1000.0,TestOperatingCost,357.452950387,74.4983707964,634.199877662,935.662137165,1000.0,fa053414-9051-4131-9de6-a85ee89e4dbf,2.0,2.0,1020.0,1020.0,946.622395173,661.377101428,550.0,50.0,147233.181561,8.21306345976,2156.32753558,2000.0,3356.32753558,1.0,1000.0,250.0
537.24030774,1000.0,TestOperatingCost,238.838349217,71.1116469667,270.101941055,327.165023933,1000.0,7a7abab0-a5e8-41ef-81c2-b48434fc8bd4,2.0,2.0,1020.0,1020.0,7730.38084694,658.812767523,550.0,50.0,189789.174036,2.12673822748,2848.89014855,2000.0,4048.89014855,1.0,1000.0,250.0
394.784054782,1000.0,TestOperatingCost,1609.80390874,46.9750998433,131.37356835,206.558768314,1000.0,3e3b5d62-1660-4bb1-a81e-716a949b563e,2.0,2.0,1020.0,1020.0,1867.46968969,965.650248216,550.0,50.0,190609.418289,7.17354458367,4237.66925296,2000.0,5437.66925296,0.0,1000.0,250.0
