Range [km],DOC [$],DOC [$/km],RotorRadius [m],CruiseSpeed [m/s],BatteryMass [kg],MotorMass [kg],MaxTakeOffMass [kg]
10.0,34.166071113320932,3.4166071113320933,1.0251026328677653,46.257236434200664,145.59743914823403,47.523395145052589,712.3067159279957
20.0,42.638882026214141,2.1319441013107068,1.0156594432623123,45.784291472663675,176.66312159265235,51.26043060501658,757.17609843123671
30.0,51.606813258678642,1.7202271086226215,1.024017289376647,45.5,208.08770798258078,54.89424626020017,803.6682689058207
40.0,61.133976589789434,1.5283494147447358,1.0426303763419091,45.5,240.78901833778869,58.535232124252296,852.66648823581761
50.0,71.273039207180076,1.4254607841436016,1.0679054839905273,45.5,274.28556240266579,62.148381272489473,903.31946437525517
60.0,82.072748508290218,1.3678791418048371,1.0973906549915953,45.5,308.74183374130206,65.789658203487434,955.81164369141266
70.0,93.904970161763956,1.341499573739485,1.1963566316281768,45.503270553786102,332.33596316078388,66.832601893577959,997.34516069701249
80.0,109.90855309224078,1.3738569136530097,1.3977803279017815,45.5,350.97678062852395,68.322443929511593,1052.930341885572
90.0,129.49195698145178,1.4387995220161307,1.5214297723952381,45.5,399.0639705566864,77.486328411725808,1197.191911670059
100.0,151.74902233664523,1.5174902233664522,1.6499667403428095,45.5,450.19121317843059,87.260125497624756,1350.5736395352919
110.0,177.02695972708699,1.6093359975189727,1.7836222077700907,45.5,504.60535013761569,97.717130488211524,1513.8160504128471
120.0,205.72306305253136,1.7143588587710947,1.9225249206942128,45.5,562.6618437912565,108.95236405544091,1687.9855313737694
130.0,240.57043772029022,1.850541828617617,2.0000135481970331,45.500892891520166,669.6973562720774,129.90616520111001,2009.1485207344642
140.0,280.69603347282975,2.0049716676630696,2.0155753979620874,43.942460203791263,789.2344129136228,154.05973419544347,2363.0306193522429
150.0,295.30332360781364,1.968688824052091,2.038146545342939,41.685345465706092,731.01781030158963,140.55867381257715,2181.6094673018879
160.0,311.5259845517038,1.9470374034481488,2.059374714505414,39.562528549458577,675.63510299583425,128.49361967154545,2009.0928946358783
170.0,329.34848656277057,1.9373440386045329,2.0793046127486892,37.569538725131082,622.66604564606303,117.66137865482446,1844.206753113582
180.0,349.05227411781084,1.9391793006545046,2.0979616435965687,35.703835640343129,573.24987340649432,108.16113025989432,1690.3611271405125
190.0,370.33384841641316,1.9491255179811218,2.1153641781904624,33.96358218095375,525.87477183687292,99.616600823030808,1543.0150620534801
200.0,393.79728544443856,1.9689864272221929,2.1315317246269787,32.339927368523163,482.91370775872122,92.309500637342964,1409.2745860235509
