Name	Theo_Area	Wet_Area	Theo_Vol	Wet_Vol	Min_Chord	Ave_Chord	Max_Chord	Min_TC_Ratio	Avg_TC_Ratio	Max_TC_Ratio	Ave_Sweep	Length	Max_Xsec_Area	Len_Dia_Ratio
FuselageGeom0	177.206379	65.029079	146.064907	57.361268	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	16.404000	27.900090	2.752275
CanardGeom0	185.029290	98.127565	22.835192	12.959845	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MotorGeom0	9.380193	4.168057	1.465376	0.696812	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
MotorGeom1	9.380193	4.130393	1.465376	0.690515	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
MotorGeom0	9.380193	3.258167	1.465376	0.544697	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
MotorGeom1	9.380193	3.260090	1.465376	0.545019	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
WingGeom0	185.029290	101.398459	22.835192	13.391837	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MotorGeom0	9.380193	4.180149	1.465376	0.698834	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
MotorGeom1	9.380193	4.137192	1.465376	0.691652	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
MotorGeom0	9.380193	3.279948	1.465376	0.548339	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
MotorGeom1	9.380193	3.253025	1.465376	0.543838	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
MeshGeom0	346.393518	43.655200	286.552082	38.646877	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MeshGeom0	315.016747	107.970091	28.912987	10.604920	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MeshGeom0	17.494163	5.046229	8.905055	2.748875	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MeshGeom0	17.494163	3.383309	8.905055	1.843019	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MeshGeom0	15.368661	2.401981	2.604709	0.435650	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MeshGeom0	15.368661	2.229764	2.604709	0.404415	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
