CfgID,CruiseSpeed,ENominal,EReserve,GUID,MaxTakeoffMass,Range,RotorRadius,tNominal,tReserve,Vehicle
TestMissions,36.5783226998,17393.3838706,22624.0443718,36805efe-6abc-451e-ac5b-03064e72e854,5662.74606962,124777.825922,7.11162776192,3591.2506182,4791.2506182,1.0
TestMissions,77.3332228807,4427.68535663,6287.5092794,70638cb7-f6b1-4d1d-964d-121b4b337b4f,7234.69687827,91825.1239859,6.14018015378,1367.39554056,2567.39554056,1.0
TestMissions,68.1001996617,11087.7892155,15661.2274143,7e2f5b53-00f1-427d-b235-2e433b707e89,7043.57209593,102116.029854,8.80319752191,1679.49677623,2879.49677623,1.0
TestMissions,69.9446820601,1678.50288587,7110.55806608,ed59495e-1641-4988-86ea-0f4fc30fce23,9454.59264711,12688.5300844,9.76764543847,361.408074362,1561.40807436,1.0
TestMissions,46.5113862804,15043.8801342,18473.4418186,8f34e9bd-ade3-482a-b282-26d0a988a355,7238.84360273,186089.212708,6.2464783415,4180.93885798,5380.93885798,1.0
TestMissions,78.3407402761,140.827725193,173.702437363,e0464be8-999a-460c-b9d7-5c264a0e1956,5347.53317299,115769.803024,4.29692481224,1657.7726457,2857.7726457,0.0
TestMissions,32.3810292569,51.9952553386,97.1082729758,98541c21-39b7-4c2e-8edd-6938cde41ec8,2752.4225625,85893.9515074,5.34359272864,2832.6010284,4032.6010284,0.0
TestMissions,61.8363356494,145.319531672,189.22493549,9453f6bf-27dd-43b2-8dec-c3715a383d1d,9526.37429854,160777.104905,5.045120794,2780.04256748,3980.04256748,0.0
TestMissions,65.2563941727,83.5366886587,93.0420921889,57984f0c-f420-4ca4-a9f6-925f00593c35,1271.20638141,128458.768506,1.34276511748,2148.52385325,3348.52385325,0.0
TestMissions,77.0205136905,424.435207401,589.971886247,dfb0f52f-f2e7-4134-958f-8d874223521f,9172.45928973,109645.942962,3.41999865354,1603.59402331,2803.59402331,1.0
TestMissions,48.8989943388,39.7204037377,69.7053371362,b62b3062-a81e-4aad-81b3-2e54fbcd527c,5515.6874978,44198.4041298,4.02020393844,1083.87143391,2283.87143391,0.0
TestMissions,58.888158609,181.945731003,416.804377056,ab61f4e1-338c-4371-94cc-d6b0b6901301,2700.16917572,39236.7279111,7.00025738174,846.292321545,2046.29232154,1.0
TestMissions,31.13637731,2188.60155175,2864.37993866,2d7e500b-0f89-486e-aedc-d187c677721b,3468.94539571,126770.659023,9.62057545188,4251.46463316,5451.46463316,1.0
TestMissions,74.4903015958,214.39779581,287.475073155,5d2312b1-8ebb-402d-b8cc-7dd0ff9e389e,5269.09991708,165276.026354,7.00814256399,2398.75899027,3598.75899027,0.0
TestMissions,45.5351687617,752.490007061,1130.4710385,ad235626-9fde-45bd-8fca-ed24d56c636a,2591.60626676,98170.5610015,7.86731832123,2335.92834442,3535.92834442,1.0
