Name	Theo_Area	Wet_Area	Theo_Vol	Wet_Vol	Min_Chord	Ave_Chord	Max_Chord	Min_TC_Ratio	Avg_TC_Ratio	Max_TC_Ratio	Ave_Sweep	Length	Max_Xsec_Area	Len_Dia_Ratio
FuselageGeom0	177.206379	92.047560	146.064907	81.686373	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	16.404000	27.900090	2.752275
CanardGeom0	185.029290	98.039070	22.835192	13.026693	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MotorGeom0	9.380193	4.195149	1.465376	0.705595	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
MotorGeom1	9.380193	4.166398	1.465376	0.700759	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
MotorGeom0	9.380193	4.019221	1.465376	0.676005	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
MotorGeom1	9.380193	4.029642	1.465376	0.677758	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
WingGeom0	185.029290	101.304521	22.835192	13.460581	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MotorGeom0	9.380193	4.191107	1.465376	0.704915	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
MotorGeom1	9.380193	4.166398	1.465376	0.700759	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
MotorGeom0	9.380193	4.024743	1.465376	0.676934	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
MotorGeom1	9.380193	3.253025	1.465376	0.547136	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
MeshGeom0	346.393518	148.925644	286.552082	132.639873	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MeshGeom0	315.016747	108.349705	28.912987	10.706755	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MeshGeom0	17.494163	5.814985	8.905055	3.186859	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MeshGeom0	17.494163	5.245402	8.905055	2.874703	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MeshGeom0	15.368661	7.898734	2.604709	1.441290	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MeshGeom0	15.368661	7.872958	2.604709	1.436587	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MeshGeom0	320.670998	105.289232	33.228908	11.746572	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MeshGeom0	17.494163	5.244819	8.785257	2.835715	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MeshGeom0	17.494163	5.360788	8.785257	2.898416	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MeshGeom0	15.368661	7.892705	1.743178	0.963834	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MeshGeom0	15.368661	4.206523	1.743178	0.513689	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MeshGeom0	198.011505	90.089464	32.157077	15.751827	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MeshGeom0	9.760940	4.837736	6.976610	3.722766	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MeshGeom0	9.783028	4.509758	6.898176	3.423616	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MeshGeom0	201.003794	98.495365	-32.310937	-33.235632	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MeshGeom0	9.750295	4.476076	7.415818	3.665300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MeshGeom0	9.777705	4.011915	7.284063	3.217802	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MeshGeom0	8.128852	3.585903	1.894422	0.899740	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
