"alum_rho","alum_stress","BatteryMass","bid_bearing","bid_minThk","bid_rho","bid_shear","bid_stress","canard_mass","canopy_rho","canopy_thk","CfgID","ConstraintsTest","core_minThk","core_rho","CostPerFlight","CruiseSpeed","ENominal","EReserve","fc","fuselage_mass","fuselageHeight","fuselageLength","glue_rho","glue_thk","GUID","hops","hops.1","loiterTime","loiterTime.1","MaxTakeoffMass","MotorMass","paint_rho","paint_thk","PartsPerTool","payload_mass","prop_mass","Range","rib_thk","rib_width","RotorRadius","steel_shear","tNominal","tReserve","uni_rho","uni_stress","Vehicle","winglet"
2800,3.5e+08,218.191607459,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,140.48242917,57.7701359116,48.4633998159,56.5763732064,0.4,500,1.65,5,1800,0.000254,"4ae997ba-0d1c-4ba6-87ec-eababc775919",2,2,1020,1020,1383.37192599,709.651023117,1800,0.00015,1000,550,50,172844.656029,0.0015,0.0254,1.72802311676,5e+08,3171.93784646,343.840645538,1660,4.5e+08,1,0.2
2800,3.5e+08,229.993059521,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,250.122782501,68.2676278019,866.733131621,1048.68222329,0.4,500,1.65,5,1800,0.000254,"b190ce4e-9114-4d94-8c70-d38fac734efc",2,2,1020,1020,8200.81490588,808.574622646,1800,0.00015,1000,550,50,164001.104177,0.0015,0.0254,0.728029268742,5e+08,2582.32610181,1899.11255673,1660,4.5e+08,1,0.2
2800,3.5e+08,346.945135641,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,97.7253916285,61.0544353659,47.193924426,76.6345807345,0.4,500,1.65,5,1800,0.000254,"f1d5eef3-1ce6-4fdf-908a-757c156dbcc1",2,2,1020,1020,4078.30809084,347.60621785,1800,0.00015,1000,550,50,64667.5638937,0.0015,0.0254,4.60691364681,5e+08,1239.17880505,1064.43303889,1660,4.5e+08,1,0.2
2800,3.5e+08,611.964365712,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,271.904740566,71.4979905619,131.045693813,155.645336098,0.4,500,1.65,5,1800,0.000254,"f21688ad-b4e7-4831-8349-e6ca1abf05ab",2,2,1020,1020,9990.35782414,252.397129278,1800,0.00015,1000,550,50,125077.619801,0.0015,0.0254,3.04159064563,5e+08,1929.38650468,123.761588582,1660,4.5e+08,0,0.2
2800,3.5e+08,799.930302259,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,754.876180548,59.9425086969,136.530991833,209.639495372,0.4,500,1.65,5,1800,0.000254,"910d115a-a04b-4dc5-984a-f18400e57bba",2,2,1020,1020,8717.89950069,101.16330978,1800,0.00015,1000,550,50,113644.750894,0.0015,0.0254,6.94251818082,5e+08,2075.89580692,988.122396835,1660,4.5e+08,0,0.2
2800,3.5e+08,247.640789977,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,545.117185284,74.167721667,206.408158488,247.365086246,0.4,500,1.65,5,1800,0.000254,"db851d26-cc53-4eed-8691-9b6dadfc203c",2,2,1020,1020,7043.81515123,349.852933843,1800,0.00015,1000,550,50,186583.54895,0.0015,0.0254,4.90946919059,5e+08,2695.69745917,374.50699849,1660,4.5e+08,0,0.2
2800,3.5e+08,125.959426971,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,1007.54265656,61.3549611104,172.939809649,293.915169557,0.4,500,1.65,5,1800,0.000254,"5a0ceeec-8aa6-46d2-86e0-5e972d3d780b",2,2,1020,1020,4027.1105323,868.977545196,1800,0.00015,1000,550,50,99683.1227024,0.0015,0.0254,9.25176627628,5e+08,1804.69539379,2224.2983927,1660,4.5e+08,0,0.2
2800,3.5e+08,665.036640695,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,101.313814174,76.5172673784,32.8466013613,50.1287263643,0.4,500,1.65,5,1800,0.000254,"fb1667b4-c5a1-4915-96fc-90a574fc0770",2,2,1020,1020,4536.94494347,530.210662588,1800,0.00015,1000,550,50,45049.6922088,0.0015,0.0254,2.68304472289,5e+08,768.751973931,2476.73868383,1660,4.5e+08,1,0.2
2800,3.5e+08,812.046477757,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,580.932505445,64.8129665137,130.672563835,202.44200932,0.4,500,1.65,5,1800,0.000254,"e22cea10-036b-4553-a593-ad24bfcff7ed",2,2,1020,1020,9897.55792616,169.593541637,1800,0.00015,1000,550,50,89253.0954504,0.0015,0.0254,6.84230165343,5e+08,1557.08702828,953.632944237,1660,4.5e+08,0,0.2
2800,3.5e+08,275.398253688,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,169.481001016,63.1747050629,81.5991180566,99.6640368092,0.4,500,1.65,5,1800,0.000254,"9e7449ae-322f-4e63-aaf4-12850d49e999",2,2,1020,1020,8096.26372393,988.452021271,1800,0.00015,1000,550,50,103600.663144,0.0015,0.0254,1.56046753831,5e+08,1819.90734964,41.3339619471,1660,4.5e+08,0,0.2
