CfgID,CruiseSpeed,EReserve,GUID,MaxTakeoffMass,Range,RotorRadius,tReserve,Vehicle
TestReserveMission,53.658171826,83.5476607263,ae60d372-b75b-4bc4-9e05-beb387244768,4524.74805465,136588.314366,1.80113860196,3925.52679895,0.0
TestReserveMission,44.2949189653,255.924719278,52e5496f-1c97-462b-8931-ab24471cfd32,3397.90860813,51073.7444561,4.10843441136,2533.03844435,1.0
TestReserveMission,43.0260490489,1250.56581825,91679555-68ee-423b-8fca-ecbe26e5775d,7814.59214291,49237.2686804,9.24463742783,2524.35951636,1.0
TestReserveMission,63.9057555387,1357.01228208,db99b73b-645b-49f0-9f3d-5e1f25d6230b,2608.49858873,94215.101386,9.81004533272,2854.28194208,1.0
TestReserveMission,34.2800227734,87.8332016873,59c1ef3d-73a7-4241-8bf4-0a36432067f5,7522.30889912,115016.781023,4.45898866588,4735.21308673,0.0
TestReserveMission,42.5552316075,1803.62917058,3cd6a940-7b0a-40d5-94d6-c7ff1fb34efb,5772.2214061,169966.297676,8.98079111531,5374.01651116,1.0
TestReserveMission,53.489604942,213.090146156,b9f22a69-db2e-4f7e-bb51-8111255b24bb,9135.81949567,41815.5161649,8.28093615745,2161.75032719,0.0
TestReserveMission,64.5038508375,524.486150389,1586e666-025b-4051-a56f-fa8ac711f488,9609.76381306,46318.0005838,9.33641746785,2098.06566558,1.0
TestReserveMission,30.0366136646,108.798795913,ee33c9be-2469-444a-880e-23f85acc4d31,6663.51954349,87457.754959,5.67592758191,4291.70489242,0.0
TestReserveMission,69.4299442425,1378.81522419,5982eb78-7218-44f5-b330-24f735b516a8,7449.86615843,159715.312146,9.71204254591,3680.38082111,1.0
TestReserveMission,34.9241960391,29.2444025881,49233a4e-678e-46d2-be80-8c5831b71d15,7468.02322539,18133.7488156,1.74353673906,1899.23167523,0.0
TestReserveMission,44.8247671546,82.4554199761,0f2baff3-0fed-4c93-933f-7af6f30f945e,3873.2599913,17863.4781328,5.09057967068,1778.51803516,0.0
TestReserveMission,66.8285201195,120.048084731,f075b2a1-f561-40e5-a4b7-0f5c8d99dfac,7192.12723434,12526.1254644,3.73299206686,1567.43682251,1.0
TestReserveMission,64.1217786068,530.656974061,65dd883c-1938-4570-8245-c05d556234ec,1194.31135014,42971.2740514,7.28753277228,2050.15099994,1.0
TestReserveMission,75.5616582518,876.926858325,f2f1de23-38de-4c1b-ae05-eb9525c3f770,4730.83865588,195640.740966,5.89706565073,3969.15361961,1.0
TestReserveMission,30.1821597677,158.339311976,f8214aca-5c19-4dec-909f-4ca838025c6d,9971.60809873,101939.529187,6.98983227716,4757.47629632,0.0
TestReserveMission,66.3799932304,235.249882401,2eb8c26c-ea7b-4014-859a-a96788d89701,9002.81488268,180138.204555,5.63646651723,4093.74243637,0.0
TestReserveMission,36.2101175199,480.279910363,f04c3eb7-b16c-4ae2-9dd8-873b6b91d750,8327.63540844,154265.462301,4.38964871596,5640.2861539,1.0
TestReserveMission,47.2512531572,153.133445695,363eee97-b04d-4e38-970b-4f32b957ca4c,5618.11165587,154892.704285,5.74131798386,4658.0655313,0.0
TestReserveMission,64.607648736,379.809382468,411de8b2-3a64-4014-aace-e394c90ab6cd,7190.1794495,194777.460301,9.37707761396,4394.77401069,0.0
TestReserveMission,78.49761146,414.645237071,abda4103-780e-4e46-b192-5b9328fe1b6c,8089.98600255,133937.721562,9.95865616131,3086.26493049,0.0
TestReserveMission,66.2840520069,658.967442932,dcabe312-19fa-49e7-9193-bb04bc12d233,942.319858598,145778.003,7.94008590773,3579.29226693,1.0
TestReserveMission,36.6136537321,115.090875813,c13e56e7-1072-4d0a-9890-1d275193ac7e,3089.58488609,197229.85912,5.00156889585,6766.78441007,0.0
TestReserveMission,69.4654992144,144.712765446,18c8fd1b-0ee1-417a-8603-91a9ece313a1,3609.62642866,15586.0217361,4.00201545393,1604.37068635,1.0
TestReserveMission,31.4383328654,95.5176252098,398838d5-74f5-4b00-8785-c6c243ff9ad3,6914.79979617,139917.578918,4.78555921321,5830.54066693,0.0
TestReserveMission,50.8004817407,51.694088098,e9bc3310-33d7-4613-a1af-c06f950cdf9b,3583.96660447,20597.9713205,1.07775916295,1785.4680313,1.0
TestReserveMission,54.2502972779,92.7335514077,a20f4c4f-bebe-49b4-80cd-b730a6773b26,5692.36254083,49306.6417195,1.61908383247,2288.87320796,1.0
TestReserveMission,53.8217540198,84.3304277409,6348b7a6-91fd-43be-9d90-1197b327dd2b,2007.61536691,154856.588456,1.81974198171,4257.21185004,0.0
TestReserveMission,78.2311479386,220.876874601,39960859-db8f-488e-b294-2b3ece0b8be0,3999.63124869,125135.254761,5.89586582246,2979.55795177,0.0
TestReserveMission,57.0301089272,217.927631783,12c080e7-466a-4c78-bee3-e8b73b94ed25,8374.80365845,49374.1146279,8.24545858363,2245.75522223,0.0
TestReserveMission,39.3683838879,286.894572854,faa1504b-3bda-45b2-8ed5-c9a081d99b92,7334.45397335,156353.484584,9.44220244374,5351.54948064,0.0
TestReserveMission,47.000800078,200.834747553,82cd4081-4a45-4bc3-9a11-154173e5b749,3203.65535161,43434.8249039,8.20387354062,2304.12947932,0.0
TestReserveMission,64.6858045193,1142.20457885,e11fb055-1968-4c6e-84d9-35931c64f524,5446.9881205,154281.968869,6.47603287514,3765.09778174,1.0
TestReserveMission,77.3815119413,728.502561389,32d156da-7681-418c-a1d5-a18e961b49fa,1354.94651866,25553.3724502,9.83336968525,1710.22580987,1.0
TestReserveMission,69.4226502512,54.8462931177,8a6342a4-c8a8-4197-b1be-4a6576d244c0,7026.58134812,35001.7661692,2.16765908506,1884.18366401,0.0
TestReserveMission,72.329620501,529.912904856,0dfe4d68-cc1d-4c5d-90cd-0c66c3ac30bb,5415.33286827,179323.149381,5.68914962358,3859.24913941,1.0
TestReserveMission,36.7094380548,158.990160778,2588f69c-30c3-4aac-957d-4ab471955e4f,304.734432272,183957.101274,6.63247302099,6391.16636542,0.0
TestReserveMission,35.2686170603,1029.84040897,928e26cd-8e48-4515-9b79-098f4ba46477,1536.13979221,39698.8141948,2.3544649423,2505.61300963,1.0
TestReserveMission,41.5698800936,80.3288551729,885b9a24-3c38-402f-925c-99630e82eb15,6643.63227039,176997.577915,1.81384050767,5637.83229386,0.0
TestReserveMission,36.6338062603,38.8195287832,e75df4a6-1381-472f-8dcf-5c11582e5340,6573.45373422,52135.1929391,2.18038480503,2803.14431017,0.0
TestReserveMission,59.0789834404,105.861454355,3726d293-810c-418a-8d62-e0c62f97a1e7,4179.27817383,104257.43115,1.97142970914,3144.71267917,1.0
TestReserveMission,31.3311303635,2492.41684587,72d74237-4b7b-4bed-823e-4b1866256b2b,9439.57369448,124643.225229,9.64499226195,5358.25497463,1.0
TestReserveMission,45.992144628,82.4362957922,8a1e587b-f4ce-411e-be59-338cd18301d4,9804.54926373,117085.988657,1.63880347286,3925.7823201,0.0
TestReserveMission,41.508089696,322.541959812,4c656b36-664d-4e05-ba87-56108830a0ca,1708.81408874,81315.0749349,5.24686335951,3339.01751997,1.0
TestReserveMission,36.8923240528,213.416555486,cf534829-bf3a-4c2d-9308-2c6983e1b8f5,3427.68670373,165176.793825,2.89877184022,5857.26723825,1.0
TestReserveMission,60.3900401641,53.6700697337,7c66256b-a1d3-4f9f-8d6c-0b4c28e2438e,2996.37841093,69870.3143648,1.24668757869,2536.98406848,0.0
