"BatteryMass","canard_mass","CfgID","ConstraintsTest","CostPerFlight","CruiseSpeed","ENominal","EReserve","fuselage_mass","GUID","hops","hops.1","loiterTime","loiterTime.1","MaxTakeoffMass","MotorMass","payload_mass","prop_mass","Range","RotorRadius","tNominal","toolCostPerVehicle","tReserve","Vehicle","wing_mass","wire_mass"
46.3590075798,1000,"TestConstraints",0,171.892119227,72.4793774037,620.792804389,971.03172862,1000,"7367a323-665a-4c89-bcb8-7a126be9802a",2,2,1020,1020,780.787648971,862.89777926,550,50,108722.996979,2.54219039841,1680.05423437,2000,2880.05423437,1,1000,250
777.980231412,1000,"TestConstraints",0,350.194420924,57.5254975603,74.7616605904,138.350971677,1000,"ea539f00-d5fc-4228-8d33-8fa0d649e61a",2,2,1020,1020,1238.51052338,924.721110021,550,50,36673.2418254,6.54434920276,817.512813983,2000,2017.51281398,0,1000,250
62.4110689308,1000,"TestConstraints",0,1745.59049577,30.557299459,143.620401042,281.104217618,1000,"a43df316-fa3c-486b-b77f-67f1ff39b754",2,2,1020,1020,8760.84001242,115.647257136,550,50,84710.3727351,9.85026666798,2952.18125407,2000,4152.18125407,0,1000,250
258.406285102,1000,"TestConstraints",0,237.135293718,41.7405089813,764.721560493,1055.97169645,1000,"dd6a57f6-4e78-40b6-95d3-5b19273db306",2,2,1020,1020,9175.044557,353.926743673,550,50,95016.269324,0.552482049114,2456.3562698,2000,3656.3562698,1,1000,250
780.310140176,1000,"TestConstraints",0,141.770492786,79.3349212434,92.0912451749,145.042208613,1000,"fe9d9127-7ff1-4898-9a8e-ee4c39c1c4a7",2,2,1020,1020,6522.51214996,458.019434349,550,50,60712.8738641,4.21138267852,945.273008563,2000,2145.27300856,1,1000,250
754.192682128,1000,"TestConstraints",0,1492.25100016,34.3958733247,104.331548547,194.52453582,1000,"f0b917f1-af30-4135-86bf-9ab2d739d4e2",2,2,1020,1020,5486.66305889,300.117898822,550,50,110964.092948,7.87518091893,3406.08738264,2000,4606.08738264,0,1000,250
732.949785903,1000,"TestConstraints",0,270.86987217,55.1641415489,68.1715207873,82.9639665033,1000,"676d495d-3ca6-4aca-b449-6c3b4c09587f",2,2,1020,1020,3901.20720754,86.1939140295,550,50,122160.569856,0.574908843613,2394.49235729,2000,3594.49235729,0,1000,250
258.645993959,1000,"TestConstraints",0,620.766676362,46.0753315177,74.3327687295,126.262027781,1000,"86004271-0c22-4dfc-b7cd-52d9166c8698",2,2,1020,1020,3160.15665282,934.974528084,550,50,89710.0492996,5.79788233103,2127.02992566,2000,3327.02992566,0,1000,250
289.079447132,1000,"TestConstraints",0,243.365612294,66.6825771607,99.6344670107,112.453118459,1000,"68813763-dd0f-45cd-985e-986cd10fac16",2,2,1020,1020,4241.78840683,113.531879132,550,50,133287.58276,1.57447565569,2178.8367042,2000,3378.8367042,0,1000,250
813.976542582,1000,"TestConstraints",0,1877.4823808,46.078677257,174.200365977,310.039762721,1000,"2cd71c93-dd66-4093-a69d-36f2c220b8e4",2,2,1020,1020,6534.65079588,657.236531303,550,50,129580.906785,9.81287832795,2992.16637497,2000,4192.16637497,0,1000,250
858.494199931,1000,"TestConstraints",0,349.818659959,45.0994980348,616.505256226,925.505564165,1000,"7846dd8e-c8d6-42a4-ab6d-1c3d24722944",2,2,1020,1020,5241.04492108,313.992540272,550,50,97806.5780654,7.64604650079,2348.68440509,2000,3548.68440509,1,1000,250
953.418478912,1000,"TestConstraints",0,1285.15951542,40.9106429052,97.4431496358,145.324989313,1000,"5585f1b4-72f2-49e2-9a9d-f80917c493a9",2,2,1020,1020,9108.33679981,251.177117149,550,50,190881.170281,5.35831760615,4845.80715253,2000,6045.80715253,0,1000,250
521.572679414,1000,"TestConstraints",0,213.8977869,65.0533126054,287.837986487,461.876269316,1000,"db04c2a0-be37-491e-ab63-db7d0db2a36f",2,2,1020,1020,4378.03343527,881.157205291,550,50,82684.0806614,7.52832006364,1451.02029627,2000,2651.02029627,1,1000,250
748.766839771,1000,"TestConstraints",0,884.176488396,65.696986153,178.34027726,316.558947963,1000,"143ee277-b362-49d5-81c6-2b9100384ac5",2,2,1020,1020,1000.5597199,548.443051379,550,50,73965.7838955,9.95748057893,1305.86266474,2000,2505.86266474,0,1000,250
695.569859962,1000,"TestConstraints",0,320.204784187,62.6877498614,1150.03810823,1744.76942861,1000,"7d3d0466-eb2a-4cc3-a695-182b9f99e208",2,2,1020,1020,5541.65831479,53.3044490789,550,50,99763.3776903,5.4862277906,1771.4333807,2000,2971.4333807,1,1000,250
337.110259337,1000,"TestConstraints",0,1365.280907,52.5762197092,156.706128951,265.843070438,1000,"248225d1-d7e3-4bfc-8ab4-f6b7594edeef",2,2,1020,1020,2530.67054912,914.281125377,550,50,129548.99114,8.7722548282,2644.02255347,2000,3844.02255347,0,1000,250
862.533306511,1000,"TestConstraints",0,495.031383873,58.3690103129,1459.40490239,2058.28924304,1000,"3a377e40-e796-4456-98f1-c5054eb9ac4f",2,2,1020,1020,6016.70131774,763.242517237,550,50,126974.276186,8.1169120843,2355.37140865,2000,3555.37140865,1,1000,250
