BatteryMass,canard_mass,CfgID,ConstraintsTest,CostPerFlight,CruiseSpeed,ENominal,EReserve,fuselage_mass,GUID,hops,hops,loiterTime,loiterTime,MaxTakeoffMass,MotorMass,payload_mass,prop_mass,Range,RotorRadius,tNominal,toolCostPerVehicle,tReserve,Vehicle,wing_mass,wire_mass
386.571140984,200.0,TestConstraints,0.0,394.411220686,40.595228041,867.915434874,1102.59828916,500.0,1fc3d787-7a25-4563-86ff-b28504eb69ff,2.0,2.0,1020.0,1020.0,9438.86153183,108.059113963,550.0,50.0,173707.561597,6.09918784567,4459.01430733,2000.0,5659.01430733,1.0,200.0,30.0
924.573039262,200.0,TestConstraints,0.0,214.891989068,70.3950348527,212.164319533,256.226026605,500.0,1bd4ed3f-c571-4a4a-be66-021f58c8fd1e,2.0,2.0,1020.0,1020.0,4372.03910329,368.891695683,550.0,50.0,176068.109259,1.03725249829,2681.14386089,2000.0,3881.14386089,1.0,200.0,30.0
349.892278282,200.0,TestConstraints,0.0,254.268338177,65.032026845,621.499427694,915.548363794,500.0,fbd99bad-0557-4350-b093-ad60df0df647,2.0,2.0,1020.0,1020.0,3038.94118746,285.914955,550.0,50.0,110232.633785,8.46716499625,1875.05148668,2000.0,3075.05148668,1.0,200.0,30.0
732.081183179,200.0,TestConstraints,0.0,244.372987092,52.0557369163,663.577394757,979.590759991,500.0,0d47ba95-8aef-44fb-9972-d3439bd5d773,2.0,2.0,1020.0,1020.0,8641.0409942,899.214291009,550.0,50.0,81734.7218428,0.474539916543,1750.13859921,2000.0,2950.13859921,1.0,200.0,30.0
323.211610646,200.0,TestConstraints,0.0,172.048577519,60.3015172104,402.798030941,804.845676897,500.0,765f4012-2342-4c31-92b5-cf170f00cfe1,2.0,2.0,1020.0,1020.0,2455.11859404,56.9937806338,550.0,50.0,52492.1493822,9.53626761564,1050.49467096,2000.0,2250.49467096,1.0,200.0,30.0
204.81106995,200.0,TestConstraints,0.0,291.840589185,51.3141041293,570.663023288,730.887219542,500.0,d00c0a4f-bc6f-42a9-86f7-4a82096a393a,2.0,2.0,1020.0,1020.0,3740.55009634,630.49835629,550.0,50.0,181098.226551,5.53196958441,3709.20955406,2000.0,4909.20955406,1.0,200.0,30.0
742.412233633,200.0,TestConstraints,0.0,274.286476933,68.0348250676,558.922872042,880.342829993,500.0,21e98e66-8208-4506-92f8-46e4dbb712c1,2.0,2.0,1020.0,1020.0,2256.41785615,409.232950521,550.0,50.0,92689.3803927,9.09897921709,1542.38140247,2000.0,2742.38140247,1.0,200.0,30.0
201.956011105,200.0,TestConstraints,0.0,123.735569711,41.2738724758,176.528426017,247.701278379,500.0,8719d2dd-bba0-4af1-9e12-3a7dadab26eb,2.0,2.0,1020.0,1020.0,6384.6747946,255.320958368,550.0,50.0,96503.9457882,1.15388366061,2518.1364529,2000.0,3718.1364529,1.0,200.0,30.0
925.532313977,200.0,TestConstraints,0.0,625.837580093,34.6811981325,1034.17342641,1255.72127485,500.0,5ab896bf-b969-43de-9003-9ebacd4dca86,2.0,2.0,1020.0,1020.0,8674.08216481,776.593956469,550.0,50.0,198752.010356,5.66573605622,5910.82883691,2000.0,7110.82883691,1.0,200.0,30.0
73.6135267137,200.0,TestConstraints,0.0,802.339123715,33.7073336415,2490.14577883,3046.66566828,500.0,11cc6abd-ebd8-4916-b047-444bb0d3094d,2.0,2.0,1020.0,1020.0,2154.44470996,636.421273014,550.0,50.0,186654.903515,9.12477325308,5717.51612335,2000.0,6917.51612335,1.0,200.0,30.0
226.297948058,200.0,TestConstraints,0.0,293.598066223,44.6552773069,66.2274690113,77.5214706722,500.0,85a72e14-9f6a-47ed-a3a1-f8d149f808ac,2.0,2.0,1020.0,1020.0,3469.63802148,751.274789341,550.0,50.0,191197.896233,1.12351737434,4461.64167291,2000.0,5661.64167291,0.0,200.0,30.0
61.5304734759,200.0,TestConstraints,0.0,2135.82669154,41.8727335857,166.666388303,297.887919136,500.0,c11dca2f-da25-471e-988b-e7720f508924,2.0,2.0,1020.0,1020.0,3667.51004268,979.788924575,550.0,50.0,155148.352599,9.66437403863,3885.23582563,2000.0,5085.23582563,0.0,200.0,30.0
846.357038625,200.0,TestConstraints,0.0,286.786174623,35.1944499175,527.710356747,886.11345071,500.0,acc8f622-0994-478c-a685-5eff884bb1e0,2.0,2.0,1020.0,1020.0,7383.356249,869.933069291,550.0,50.0,61842.3804654,6.08887707685,1937.16286546,2000.0,3137.16286546,1.0,200.0,30.0
275.793564733,200.0,TestConstraints,0.0,511.572457519,38.9518763025,1627.53182742,2088.39060726,500.0,1742871e-66a4-45a9-83ca-4853b1180795,2.0,2.0,1020.0,1020.0,5945.42046024,339.041378694,550.0,50.0,160645.573179,7.13876942101,4304.20628809,2000.0,5504.20628809,1.0,200.0,30.0
683.248229832,200.0,TestConstraints,0.0,110.333145273,74.3652629154,82.1517066579,222.200533116,500.0,dcce8535-c581-4909-beb2-6c9069a41d35,2.0,2.0,1020.0,1020.0,6596.69408573,959.924439161,550.0,50.0,25017.269712,5.12496148137,516.410694068,2000.0,1716.41069407,1.0,200.0,30.0
811.276280188,200.0,TestConstraints,0.0,139.819486895,46.818358822,19.3730212567,29.9115848702,500.0,7124f318-032b-40a7-bf57-493a2e7f549d,2.0,2.0,1020.0,1020.0,2307.07203752,383.410976691,550.0,50.0,47979.0578734,0.518316808423,1204.79153649,2000.0,2404.79153649,0.0,200.0,30.0
960.236630928,200.0,TestConstraints,0.0,269.239374437,64.2558734902,683.743203529,1226.58406905,500.0,ef9e0808-9110-4f27-9a10-46894c31878d,2.0,2.0,1020.0,1020.0,5862.17822525,357.343299338,550.0,50.0,64456.8126805,7.79125157063,1183.12717234,2000.0,2383.12717234,1.0,200.0,30.0
947.31112774,200.0,TestConstraints,0.0,134.569207724,69.409800649,134.312206639,428.884333773,500.0,73b700ac-cf60-4ab9-a81e-b73ab053ab54,2.0,2.0,1020.0,1020.0,2276.40638997,289.708344286,550.0,50.0,23267.8251438,6.0003477973,515.223915445,2000.0,1715.22391545,1.0,200.0,30.0
238.720728,200.0,TestConstraints,0.0,113.079060681,38.8888588297,165.368418337,279.818085075,500.0,8e81c5df-2e8c-41bf-a350-d84951ca88cc,2.0,2.0,1020.0,1020.0,7994.51845966,274.39400867,550.0,50.0,61133.8733374,2.55875235537,1752.01510091,2000.0,2952.01510091,1.0,200.0,30.0
819.702117586,200.0,TestConstraints,0.0,112.144452048,60.682435634,36.9471386577,64.4893813015,500.0,f35faa5e-a137-4c6c-a87f-d3f571550132,2.0,2.0,1020.0,1020.0,2498.72625996,71.9821311842,550.0,50.0,51261.5857551,0.868208344194,1024.75161914,2000.0,2224.75161914,1.0,200.0,30.0
852.632919982,200.0,TestConstraints,0.0,215.893041969,73.3473921274,74.091729738,91.9304653242,500.0,6ee656c1-6c88-4713-8f22-c3f0eabb3126,2.0,2.0,1020.0,1020.0,1860.3999693,540.520098837,550.0,50.0,78329.1583894,2.84260442548,1247.92015527,2000.0,2447.92015527,0.0,200.0,30.0
359.382525367,200.0,TestConstraints,0.0,1049.36793056,46.6724975639,113.759827825,166.624228305,500.0,d7c9e374-417a-462e-b569-23aa14de2320,2.0,2.0,1020.0,1020.0,5574.75250233,566.176411781,550.0,50.0,191319.482189,5.80432441641,4279.19100488,2000.0,5479.19100488,0.0,200.0,30.0
104.22008258,200.0,TestConstraints,0.0,101.711725569,69.8860227873,74.8962200289,82.7102967688,500.0,9ecff8c8-d093-4b40-b0fe-d4388fca83a3,2.0,2.0,1020.0,1020.0,561.118816243,289.302034318,550.0,50.0,104055.166797,0.884021268558,1668.92672164,2000.0,2868.92672164,0.0,200.0,30.0
633.937598951,200.0,TestConstraints,0.0,272.664700854,72.4042712933,1190.82025766,3378.59631949,500.0,88e8a3d1-3865-4b52-8fc6-402ab9e183eb,2.0,2.0,1020.0,1020.0,6524.79081769,970.955940759,550.0,50.0,26938.3447221,8.71028825536,552.054634912,2000.0,1752.05463491,1.0,200.0,30.0
381.33411007,200.0,TestConstraints,0.0,136.949652074,77.5266354827,398.403274938,502.778254096,500.0,d896a61e-9495-4609-848c-4b846be06132,2.0,2.0,1020.0,1020.0,4413.89368637,309.620616024,550.0,50.0,95375.7679013,0.549436564693,1410.23225898,2000.0,2610.23225898,1.0,200.0,30.0
190.167919172,200.0,TestConstraints,0.0,1430.45102907,73.7235967314,8814.20816733,11196.5518798,500.0,98dfd754-6e3e-4d79-91e3-a96b8515cbad,2.0,2.0,1020.0,1020.0,8350.57944037,555.274568411,550.0,50.0,181935.765988,9.19402100765,2647.80914191,2000.0,3847.80914191,1.0,200.0,30.0
568.40938237,200.0,TestConstraints,0.0,470.224377286,61.2576742011,2480.41608577,4079.38246595,500.0,215d9ef6-8fd0-41d1-b4a9-b7b4fbbed96a,2.0,2.0,1020.0,1020.0,3772.37608042,85.7095928465,550.0,50.0,81453.1387238,6.77027793358,1509.68056307,2000.0,2709.68056307,1.0,200.0,30.0
729.364169983,200.0,TestConstraints,0.0,2939.07843073,38.6862600146,18432.9164837,23290.7202885,500.0,ad776dbf-16b8-4890-87ec-01093a65526f,2.0,2.0,1020.0,1020.0,6188.64994654,97.1990090778,550.0,50.0,169600.882035,9.87906019121,4564.00822334,2000.0,5764.00822334,1.0,200.0,30.0
933.475311614,200.0,TestConstraints,0.0,226.400267707,77.9699495085,791.218357061,3019.28705365,500.0,2b4f1dd9-13e1-4f1e-b890-edfc0cbb5e5d,2.0,2.0,1020.0,1020.0,3021.43514177,118.51151305,550.0,50.0,17903.711309,9.24883420186,409.623225639,2000.0,1609.62322564,1.0,200.0,30.0
479.964434571,200.0,TestConstraints,0.0,1384.80482971,52.7052899091,177.938538734,304.461964211,500.0,a5906d5a-f826-4f30-9a8d-5fc76f568d85,2.0,2.0,1020.0,1020.0,7839.95974621,595.321337295,550.0,50.0,124186.439502,9.43143944976,2536.24241355,2000.0,3736.24241355,0.0,200.0,30.0
547.387892193,200.0,TestConstraints,0.0,196.554531804,53.4080634553,319.583195191,601.243477371,500.0,fbb33468-9eaa-4be1-a84b-b3818f5d8509,2.0,2.0,1020.0,1020.0,9341.11065694,365.556760317,550.0,50.0,57320.281448,8.25488461359,1253.25144818,2000.0,2453.25144818,1.0,200.0,30.0
661.258716967,200.0,TestConstraints,0.0,990.054037424,75.8222191315,242.6266093,342.538371499,500.0,4696be96-26e5-4c3c-8fc5-019242cc51fa,2.0,2.0,1020.0,1020.0,8557.89089917,376.661681513,550.0,50.0,150504.40157,8.28358963875,2164.96434546,2000.0,3364.96434546,0.0,200.0,30.0
902.675337917,200.0,TestConstraints,0.0,594.627342418,79.1298158001,173.111957577,277.767083888,500.0,7e4f955b-1718-4457-a744-8987aa5058a2,2.0,2.0,1020.0,1020.0,6915.52883598,916.71732257,550.0,50.0,72351.2731608,8.52191371087,1094.33642843,2000.0,2294.33642843,0.0,200.0,30.0
